Scientist,Birth Date,Death Date,Gender Identity,Field of Study,Disability Status,Bio,Race,Ethnicity,Country of Birth,Media Coverage,Exposure,Roles/Positions Held
Alessandra Giliani,1307,1326,Cisgender,"Medicine, Anatomy",None,Alessandra Giliani is often cited as the first female anatomist and prosector. She worked under the renowned anatomist Mondino de' Liuzzi and is credited with developing a method to inject colored fluids into blood vessels for better anatomical study.,White,Italian,Italy,Limited historical records; her story is mostly reconstructed from secondary sources.,Low,Assistant to Mondino de' Liuzzi.
Alice Ball,1892,1916,Cisgender,Chemistry,NaN,"American chemist who developed the ""Ball Method,"" a treatment for leprosy.",Black,American,United States,"Posthumous recognition in various articles, books, and documentaries","High, Increasing posthumous recognition; initially low due to the era's racial and gender biases.",First woman and first African-American to earn a master's degree from the University of Hawaii; Chemistry instructor at the same institution.
Annie M. Alexander,1867,1950,Cisgender,Paleontology,NaN,Annie M. Alexander was a pioneering paleontologist and philanthropist. She founded the Museum of Vertebrate Zoology and the University of California Museum of Paleontology.,White,Hawaiian,Hawaii,"One biography of her, published in 2001",Moderate; known within academic and museum circles.,Founder of major natural history museums
Jocelyn Bell Burnell,1943,,Cisgender,Astrophysics,None,"Irish astrophysicist who discovered the first radio pulsars. Despite her groundbreaking work, she was controversially excluded from the Nobel Prize awarded for this discovery.",White,Irish,Northern Ireland,"High; subject of numerous articles, documentaries, and books",High,Professor at the University of Oxford; first female president of the Royal Society of Edinburgh
Jennifer Doudna,1964,,Cisgender,Biochemistry,None,American biochemist known for her pioneering work in CRISPR gene editing. She was awarded the 2020 Nobel Prize in Chemistry alongside Emmanuelle Charpentier.,White,American,United States,"Very high; frequent media appearances, subject of books and documentaries",Very high,Professor at UC Berkeley; co-founder of several biotechnology companies
Emmanuelle Charpentier,1968,,Cisgender,Microbiology,None,French microbiologist known for her work on the CRISPR-Cas9 gene editing technique. She was awarded the 2020 Nobel Prize in Chemistry alongside Jennifer Doudna.,White,French,France,"Very high; frequent media appearances, subject of scientific articles and news stories",Very high,Director at the Max Planck Institute for Infection Biology
Donna Strickland,1959,,Cisgender,"Physics, Optics",None,"Canadian optical physicist and pioneer in the field of pulsed lasers. She was awarded the Nobel Prize in Physics in 2018, becoming only the third woman to receive the Physics prize.",White,Canadian,Canada,High; increased significantly after her Nobel Prize win,High,Professor at the University of Waterloo
Shinya Yamanaka,1962,,Cisgender,Stem Cell Research,None,Japanese stem cell researcher who discovered induced pluripotent stem cells. He was awarded the 2012 Nobel Prize in Physiology or Medicine for this groundbreaking work.,Asian,Japanese,Japan,Very high; frequent subject of scientific articles and news stories,Very high,Director of the Center for iPS Cell Research and Application at Kyoto University
Tu Youyou,1930,,Cisgender,Pharmaceutical Chemistry,None,"Chinese pharmaceutical chemist who discovered artemisinin and dihydroartemisinin, used to treat malaria. She was awarded the 2015 Nobel Prize in Physiology or Medicine.",Asian,Chinese,China,High; increased significantly after her Nobel Prize win,High,Chief Scientist at the China Academy of Traditional Chinese Medicine
May-Britt Moser,1963,,Cisgender,Neuroscience,None,Norwegian psychologist and neuroscientist who discovered grid cells in the brain. She was awarded the 2014 Nobel Prize in Physiology or Medicine alongside her then-husband Edvard Moser.,White,Norwegian,Norway,High; frequent subject of scientific articles and news stories,High,Professor at the Norwegian University of Science and Technology
Emmanuelle Pouydebat,1976,,Cisgender,Evolutionary Biology,None,French evolutionary biologist known for her work on animal and human motor skills. She has conducted extensive research on grasping abilities across various species.,White,French,France,Moderate; known within scientific circles and occasionally featured in science media,Moderate,Research Director at the French National Centre for Scientific Research (CNRS)
Siqi Li,1986,,Cisgender,Quantum Computing,None,Chinese-American physicist working on quantum computing and quantum information. Her research focuses on developing new quantum algorithms and error correction techniques.,Asian,Chinese-American,China,Moderate; featured in scientific publications and occasionally in tech media,Moderate,Assistant Professor at Stanford University
Sabrina Gonzalez Pasterski,1993,,Cisgender,Theoretical Physics,None,"American theoretical physicist known for her work on high energy physics and black holes. She has been called the ""next Einstein"" by some in the scientific community.",Hispanic,Cuban-American,United States,High; subject of numerous articles and featured in various media outlets,High,Postdoctoral researcher at Princeton University
